episode,reward
1,-2338.4267
2,-2289.1506
3,-2267.1722
4,-2260.3978
5,-2287.265
6,-2292.5156
7,-2287.0322
8,-2269.3256
9,-2285.6944
10,-2306.6128
11,-2635.5433
12,-2278.5144
13,-2274.4978
14,-2268.2556
15,-2405.4894
16,-2245.2644
17,-2223.7661
18,-2317.5011
19,-2250.9383
20,-2344.145
21,-2264.2994
22,-2259.3056
23,-2365.1761
24,-2263.0394
25,-2249.6594
26,-2286.9883
27,-2294.5794
28,-2299.025
29,-2258.5611
30,-2357.9244
31,-2319.9667
32,-2311.2406
33,-2262.8161
34,-2291.7106
35,-2284.6161
36,-2309.4617
37,-2300.2389
38,-2241.7856
39,-2300.3972
40,-2251.5006
41,-2249.7861
42,-2260.1467
43,-2256.0233
44,-2269.4178
45,-2269.8994
46,-2384.3133
47,-2260.4728
48,-2267.7017
49,-2311.7894
50,-2349.2133
51,-2277.6906
52,-2255.1117
53,-2284.6072
54,-2297.0511
55,-2428.5333
56,-2332.48
57,-2254.1939
58,-2242.1506
59,-2303.21
60,-2324.6028
61,-2242.8044
62,-2354.5256
63,-2265.1989
64,-2326.115
65,-2266.5506
66,-2300.1628
67,-2212.7578
68,-2285.6783
69,-2286.2161
70,-2291.7889
71,-2295.6944
72,-2286.7789
73,-2353.8333
74,-2297.7189
75,-2265.5594
76,-2261.9667
77,-2244.555
78,-2245.975
79,-2277.735
80,-2249.0011
81,-2319.8717
82,-2324.18
83,-2297.225
84,-2288.9022
85,-2450.5339
86,-2258.1811
87,-2274.7461
88,-2305.8067
89,-2411.8194
90,-2284.6822
91,-2274.4644
92,-2254.8411
93,-2264.1372
94,-2329.8611
95,-2283.5094
96,-2259.8717
97,-2249.3322
98,-2365.41
99,-2288.64
100,-2257.6117
101,-2255.56
102,-2363.9956
103,-2302.3983
104,-2279.0939
105,-2338.6344
106,-2265.3044
107,-2258.115
108,-2330.6767
109,-2298.7222
110,-2292.1072
111,-2260.7317
112,-2274.7156
113,-2262.6283
114,-2278.635
115,-2284.9544
116,-2357.3756
117,-2300.14
118,-2296.1189
119,-2380.5061
120,-2242.7867
121,-2249.7756
122,-2364.5311
123,-2283.165
124,-2396.9994
125,-2380.9522
126,-2284.6889
127,-2260.0133
128,-2249.16
129,-2406.4217
130,-2254.57
131,-2243.2833
132,-2270.8511
133,-2316.0722
134,-2235.4261
135,-2246.0189
136,-2283.2278
137,-2280.9128
138,-2295.2889
139,-2259.6261
140,-2258.9233
141,-2340.6689
142,-2317.3322
143,-2269.0117
144,-2272.8506
145,-2311.6239
146,-2241.7417
147,-2262.8011
148,-2288.6
149,-2231.7133
150,-2289.3589
151,-2426.5844
152,-2241.8044
153,-2251.9683
154,-2258.9156
155,-2254.7356
156,-2297.7589
157,-2259.165
158,-2403.0967
159,-2388.4467
160,-2406.76
161,-2243.0167
162,-2301.0589
163,-2301.4778
164,-2403.5428
165,-2293.6444
166,-2397.4422
167,-2388.7739
168,-2253.1633
169,-2302.1994
170,-2264.2156
171,-2333.7806
172,-2301.72
173,-2253.6178
174,-2291.9378
175,-2331.2722
176,-2285.4256
177,-2300.725
178,-2320.1456
179,-2296.4594
180,-2271.0161
181,-2250.565
182,-2293.0611
183,-2279.1639
184,-2286.0883
185,-2328.9422
186,-2252.8211
187,-2293.0128
188,-2296.35
189,-2284.1278
190,-2291.8611
191,-2294.6433
