episode,greedy_reward
250001,-2066.1433
250002,-2066.1433
250003,-2376.1956
250004,-2290.2728
250005,-2297.9611
250006,-2070.5944
250007,-2067.2478
250008,-2067.8100
250009,-2066.9700
250010,-2066.1433
250011,-2117.2117
250012,-2066.9767
250013,-2066.6989
250014,-2067.2544
250015,-2065.3100
250016,-2064.6917
250017,-2065.2472
250018,-2067.2544
250019,-2116.6561
250020,-2116.9339
250021,-2100.8856
250022,-2167.4828
250023,-2166.9272
250024,-2065.0322
250025,-2066.6989
250026,-2069.9000
250027,-2068.3722
250028,-2116.6561
250029,-2067.8167
250030,-2066.2889
250031,-2219.5100
250032,-2176.9767
250033,-2064.7544
250034,-2140.5450
250035,-2116.9339
250036,-2066.1433
250037,-2103.1500
250038,-2168.8717
250039,-2071.4278
250040,-2239.6561
250041,-2213.3789
250042,-2069.4833
250043,-2212.2611
250044,-2118.5044
250045,-2068.5044
250046,-2066.2822
250047,-2081.6711
250048,-2198.6633
250049,-2067.2278
250050,-2212.9783
250051,-2064.7078
250052,-2064.0133
250053,-2166.5133
250054,-2167.7072
250055,-2160.9578
250056,-2143.7356
250057,-2223.9344
250058,-2175.7411
250059,-2341.2189
250060,-2197.3467
250061,-2148.4578
250062,-2200.9578
250063,-2197.0689
250064,-2159.4500
250065,-2163.0611
250066,-2203.3122
250067,-2071.6922
250068,-2078.6367
250069,-2067.5322
250070,-2167.4722
250071,-2068.6167
250072,-2094.4267
250073,-2132.4922
250074,-2236.0900
250075,-2189.1522
250076,-2328.3189
250077,-2180.2567
250078,-2065.7761
250079,-2178.8717
250080,-2088.5967
250081,-2372.6778
250082,-2372.6778
250083,-2181.3717
250084,-2178.3050
250085,-2179.1561
250086,-2070.4556
250087,-2070.7333
250088,-2067.9422
250089,-2065.4422
250090,-2074.6089
250091,-2074.6089
250092,-2074.6089
250093,-2067.6644
250094,-2067.6644
250095,-2067.1089
250096,-2065.4422
250097,-2076.4678
250098,-2070.0389
250099,-2104.8778
250100,-2578.6556
250101,-2368.7944
250102,-2498.4428
250103,-2069.8550
250104,-2064.8867
250105,-2100.9556
250106,-2115.3978
250107,-2066.1433
250108,-2156.9500
250109,-2098.7822
250110,-2158.2267
250111,-2291.0567
250112,-2065.8656
250113,-2065.3100
250114,-2065.3100
250115,-2729.7183
250116,-2729.1628
250117,-2066.4211
250118,-2066.4211
250119,-2067.8100
250120,-2071.9767
250121,-2066.9767
250122,-2077.5056
250123,-2068.0878
250124,-2066.1433
250125,-2082.7833
250126,-2193.7189
250127,-2086.1567
250128,-2086.4344
250129,-2086.1567
250130,-2086.9900
250131,-2085.8789
250132,-2086.9900
250133,-2086.9900
250134,-2108.9100
250135,-2066.8378
250136,-2188.2894
250137,-2121.6989
250138,-2158.5672
250139,-2182.1783
250140,-2183.5672
250141,-2184.6783
250142,-2184.4006
250143,-2282.4456
250144,-2184.6783
250145,-2085.2567
250146,-2268.8833
250147,-2069.6822
250148,-2069.0667
